Min	Avg	Max
-1	-3,42	-11
-1	-3,4	-13
-1	-3,56	-10
-1	-3,16	-10
-1	-3,1	-8
-1	-3,12	-11
-1	-3,22	-8
-1	-3,54	-8
-1	-3,02	-7
-1	-3,22	-11
-1	-3,38	-9
-1	-3,98	-11
-1	-3,4	-10
-1	-3,32	-10
-1	-3,62	-8
-1	-3,58	-8
-1	-3,72	-10
-1	-3,84	-11
-1	-3,82	-11
-1	-3,22	-9
-1	-3	-9
-1	-3,02	-10
-1	-3,52	-8
-1	-3,44	-12
-1	-3,3	-8
-1	-3,02	-8
-1	-3,26	-10
-1	-3,3	-9
-1	-2,84	-9
-1	-3,2	-8
-1	-2,86	-9
-1	-2,82	-9
-1	-2,42	-9
-1	-2,38	-11
-1	-2,92	-7
-1	-2,74	-8
-1	-3,02	-8
-1	-3,08	-9
-1	-3,12	-12
-1	-2,96	-8
-1	-3,08	-8
-1	-3,3	-8
-1	-3,08	-8
-1	-3,1	-9
-1	-3,34	-12
-1	-3,64	-10
-1	-3,38	-12
-1	-3,56	-9
-1	-3	-7
-1	-3,1	-7
-1	-3,04	-9
-1	-2,96	-7
-1	-2,74	-9
-1	-2,7	-10
-1	-2,78	-9
-1	-3,18	-9
-1	-3,24	-9
-1	-3,48	-10
-1	-3,5	-7
-1	-3,1	-10
-1	-3,26	-9
-1	-3,12	-11
-1	-2,88	-7
-1	-3,06	-7
-1	-3,3	-8
-1	-3,58	-9
-1	-3,3	-10
-1	-4,14	-11
-1	-3,64	-11
-1	-3,28	-11
-1	-3,5	-8
-1	-3,6	-9
-1	-3,74	-10
-1	-3,3	-9
-1	-4,02	-9
-1	-3,82	-11
-1	-3,24	-7
-1	-3,26	-12
-1	-3,2	-8
-1	-3,18	-11
-1	-3,14	-7
-1	-3,34	-10
-1	-3,52	-10
-1	-3,08	-6
-1	-3,06	-8
-1	-3,5	-7
-1	-3,16	-10
-1	-3,52	-10
-1	-3,2	-9
-1	-3,68	-13
-1	-3,32	-12
-1	-3,34	-11
-1	-3,7	-11
-1	-3,62	-12
-1	-3,34	-12
-1	-3,56	-10
-1	-3,26	-11
-1	-3,54	-12
-1	-3,52	-11
-1	-3,36	-10
-1	-3,56	-10
-1	-3,22	-10
-1	-3,48	-9
-1	-3,32	-9
-1	-2,84	-8
-1	-2,98	-9
-1	-2,86	-7
-1	-2,78	-9
-1	-3,12	-7
-1	-3,08	-12
-1	-3,2	-9
-1	-2,88	-8
-1	-3,04	-7
-1	-3,26	-12
-1	-3,18	-12
-1	-3,5	-9
-1	-3,3	-10
-1	-3,3	-10
-1	-3,06	-7
-1	-2,9	-8
