Min	Avg	Max
-5	-11,06	-21
-5	-10,4	-17
-4	-10,16	-17
-4	-9,68	-16
-3	-7,9	-19
-3	-8,58	-15
-3	-7,9	-14
-3	-7,7	-15
-3	-7,82	-15
-3	-7,56	-16
-3	-7,08	-16
-3	-6,74	-12
-3	-6,94	-11
-3	-7,04	-16
-3	-7,1	-13
-2	-6,86	-12
-1	-6,3	-13
-1	-6,22	-14
-1	-5,92	-11
-1	-6,16	-14
-1	-5,4	-12
-1	-5,02	-11
-1	-5,3	-14
-1	-5,48	-12
-1	-5,82	-13
-1	-5,68	-11
-1	-4,92	-12
-1	-5,6	-13
-1	-4,96	-11
-1	-5,32	-12
-1	-5,36	-13
-1	-5,44	-14
-1	-5,26	-12
-1	-5,32	-11
-1	-5,16	-12
-1	-5,56	-12
-1	-4,84	-13
-1	-4,92	-15
-1	-4,72	-14
-1	-5,12	-10
-1	-4,92	-12
-1	-5,62	-12
-1	-5,84	-13
-1	-5,48	-11
-1	-5,52	-14
-1	-5,3	-11
-1	-5,68	-12
-1	-5,44	-13
-1	-5	-13
-1	-5,76	-17
-1	-6,18	-17
-1	-5,54	-11
-1	-5,46	-12
-1	-5,72	-13
-1	-6	-12
-1	-5,24	-12
-1	-5,56	-12
-1	-4,52	-12
-1	-4,42	-11
-1	-4,36	-12
-1	-4,2	-13
-1	-4,26	-10
-1	-4,38	-10
-1	-4,74	-12
-1	-5,24	-10
-1	-4,48	-12
-1	-5,14	-15
-1	-5,1	-14
-1	-5,26	-11
-1	-5,16	-11
-1	-5,64	-15
-1	-5,9	-14
-1	-5,84	-13
-1	-5,04	-13
-1	-4,82	-11
-1	-5,82	-15
-1	-5,06	-12
-1	-5,04	-10
-1	-4,88	-15
-1	-5,04	-12
-1	-5,16	-12
-1	-4,86	-14
-1	-5,06	-12
-1	-5,26	-11
-1	-5,08	-15
-1	-5,7	-12
-1	-5,3	-12
-1	-5,92	-13
-1	-5,88	-11
-1	-5,4	-12
-1	-4,78	-15
-1	-4,56	-11
-1	-4,54	-9
-1	-4,24	-12
-1	-4,8	-12
-1	-4,86	-11
-1	-5,12	-13
-1	-5,56	-16
-1	-5,68	-14
-1	-5,16	-12
-1	-5,18	-11
-1	-5,72	-13
-1	-5,02	-14
-1	-5,08	-12
