Min	Avg	Max
-3	-7,06	-14
-3	-6,6	-15
-3	-6,42	-20
-2	-5,68	-12
-2	-6,04	-15
-2	-6,16	-19
-2	-5,46	-14
-2	-5,12	-10
-1	-5,56	-12
-1	-5,32	-11
-1	-5,24	-12
-1	-6,24	-12
-1	-5,7	-12
-1	-5,98	-14
-1	-6,02	-15
-1	-5,92	-11
-1	-5,1	-11
-1	-4,66	-11
-1	-4,86	-10
-1	-4,12	-11
-1	-4,14	-12
-1	-3,88	-10
-1	-4,14	-10
-1	-4,5	-11
-1	-4,42	-10
-1	-4,9	-12
-1	-5,14	-12
-1	-4,88	-14
-1	-4,76	-11
-1	-4,94	-11
-1	-4,86	-11
-1	-4,84	-9
-1	-5,12	-10
-1	-4,8	-11
-1	-4,74	-10
-1	-4,56	-9
-1	-4,74	-12
-1	-5,7	-12
-1	-4,72	-10
-1	-5,04	-10
-1	-5,24	-13
-1	-5,08	-10
-1	-4,66	-12
-1	-4,52	-14
-1	-5,1	-11
-1	-5,6	-13
-1	-5,88	-13
-1	-5,46	-14
-1	-5,02	-12
-1	-5,18	-12
-1	-4,94	-11
-1	-4,98	-10
-1	-4,7	-11
-1	-3,72	-8
-1	-4,06	-12
-1	-4,46	-10
-1	-4,36	-14
-1	-4,34	-10
-1	-4,3	-8
-1	-5,24	-13
-1	-5,44	-12
-1	-5,36	-12
-1	-6,22	-14
-1	-5,3	-12
-1	-4,6	-10
-1	-4,86	-10
-1	-4,62	-12
-1	-5,4	-14
-1	-5,12	-14
-1	-4,9	-11
-1	-5,16	-13
-1	-5,1	-12
-1	-5,12	-14
-1	-4,62	-14
-1	-5,48	-10
-1	-4,82	-10
-1	-4,5	-9
-1	-4,28	-15
-1	-4,52	-12
-1	-4,82	-10
-1	-4,94	-11
-1	-4,82	-9
-1	-5,1	-11
-1	-5,66	-12
-1	-4,58	-12
-1	-4,22	-9
-1	-4,66	-12
-1	-3,66	-11
-1	-3,34	-11
-1	-3,2	-9
-1	-3,9	-9
-1	-5,04	-14
-1	-4,52	-11
-1	-4,82	-13
-1	-4,94	-11
-1	-4,64	-13
-1	-4,58	-10
-1	-4,94	-12
-1	-4,84	-14
-1	-4,78	-12
-1	-4,34	-9
-1	-4,48	-14
-1	-4,2	-10
-1	-4,58	-11
-1	-3,7	-13
-1	-4,78	-18
-1	-5,24	-14
-1	-4,56	-11
-1	-5,12	-12
-1	-5,34	-12
-1	-5,36	-13
-1	-5,68	-14
-1	-5,32	-10
-1	-5,04	-10
-1	-4,96	-11
-1	-4,82	-11
-1	-4,66	-11
-1	-4,44	-8
-1	-4,64	-11
-1	-4,8	-12
-1	-4,94	-11
-1	-4,76	-15
-1	-5,14	-11
-1	-5,28	-12
-1	-4,8	-11
-1	-4,6	-12
-1	-4,12	-12
-1	-4,32	-12
-1	-4,74	-14
-1	-4,24	-15
-1	-4,3	-12
-1	-4,78	-11
